title,title_raw,company,location,date_posted,category,skills,job_url,search_keyword,scraped_at
Compliance Analyst,Compliance Analyst,Pay10 Maroc,Casablanca et périphérie,2026-03-12,Data & AI,,https://ma.linkedin.com/jobs/view/compliance-analyst-at-pay10-maroc-4382753584,Security Analyst,2026-03-18T02:49:44.259118
Analyste Soc N2,Analyste SOC N2,PwC au Maroc,Casablanca-Settat,2026-03-16,Data & AI,,https://ma.linkedin.com/jobs/view/analyste-soc-n2-at-pwc-au-maroc-4386334558,SOC Analyst,2026-03-18T02:51:41.050442
Customer Success Account Manager,Customer Success Account Manager,"Kaspersky France and North, West & Central Africa",Casablanca-Settat,2026-03-16,Management,,https://ma.linkedin.com/jobs/view/customer-success-account-manager-at-kaspersky-france-and-north-west-central-africa-4384982999,Information Security,2026-03-18T02:52:19.195631
Assistant It Manager,Assistant IT Manager,Confidential,Casablanca-Settat,2026-03-11,Management,,https://ma.linkedin.com/jobs/view/assistant-it-manager-at-confidential-4382856233,Information Security,2026-03-18T02:52:19.195631
Account Manager,Account Manager,Midis Group,Casablanca,2026-03-14,Management,,https://ma.linkedin.com/jobs/view/account-manager-at-midis-group-4337743773,Information Security,2026-03-18T02:52:19.196636
Reservation Agent -Taghazout Bay Marriott Resort,Reservation Agent -Taghazout Bay Marriott Resort,Marriott International,Taghazout,2026-03-13,Other,,https://ma.linkedin.com/jobs/view/reservation-agent-taghazout-bay-marriott-resort-at-marriott-international-4384294313,Information Security,2026-03-18T02:52:19.196636
Accounts Receivable (Comptabilité Client) - Taghazout Bay Marriott Resort,Accounts Receivable (comptabilité client) - Taghazout Bay Marriott Resort,Marriott International,Taghazout,2026-03-13,Other,,https://ma.linkedin.com/jobs/view/accounts-receivable-comptabilit%C3%A9-client-taghazout-bay-marriott-resort-at-marriott-international-4384277738,Information Security,2026-03-18T02:52:19.196636
General Cashier/Paymaster - Taghazout Bay Marriott Resort,General Cashier/Paymaster - Taghazout Bay Marriott Resort,Marriott International,Taghazout,2026-03-13,Other,,https://ma.linkedin.com/jobs/view/general-cashier-paymaster-taghazout-bay-marriott-resort-at-marriott-international-4384291330,Information Security,2026-03-18T02:52:19.197632
Income Auditor - Taghazout Bay Marriott Resort,Income Auditor - Taghazout Bay Marriott Resort,Marriott International,Taghazout,2026-03-13,Other,,https://ma.linkedin.com/jobs/view/income-auditor-taghazout-bay-marriott-resort-at-marriott-international-4384290378,Information Security,2026-03-18T02:52:19.197632
Technicien De Maintenance Polyvalent - Taghazout Bay Marriott Resort,Technicien de maintenance polyvalent - Taghazout Bay Marriott Resort,Marriott International,Taghazout,2026-03-13,Data & AI,,https://ma.linkedin.com/jobs/view/technicien-de-maintenance-polyvalent-taghazout-bay-marriott-resort-at-marriott-international-4384295219,Information Security,2026-03-18T02:52:19.197632
